params,mean_test_accuracy,std_test_accuracy,mean_test_recall,std_test_recall,mean_test_specificity,std_test_specificity,mean_test_mcc,std_test_mcc,mean_test_gm,std_test_gm,mean_test_uar,std_test_uar,mean_test_bm,std_test_bm
"{'classifier__learning_rate': 10, 'classifier__n_estimators': 100}",0.750021,0.068245,0.694609,0.088524,0.844923,0.132264,0.526154,0.139625,0.761322,0.074164,0.769766,0.073773,0.539532,0.147547
"{'classifier__learning_rate': 10, 'classifier__n_estimators': 110}",0.750021,0.068245,0.694609,0.088524,0.844923,0.132264,0.526154,0.139625,0.761322,0.074164,0.769766,0.073773,0.539532,0.147547
"{'classifier__learning_rate': 10, 'classifier__n_estimators': 120}",0.750021,0.068245,0.694609,0.088524,0.844923,0.132264,0.526154,0.139625,0.761322,0.074164,0.769766,0.073773,0.539532,0.147547
"{'classifier__learning_rate': 10, 'classifier__n_estimators': 130}",0.750021,0.068245,0.694609,0.088524,0.844923,0.132264,0.526154,0.139625,0.761322,0.074164,0.769766,0.073773,0.539532,0.147547
"{'classifier__learning_rate': 10, 'classifier__n_estimators': 140}",0.750021,0.068245,0.694609,0.088524,0.844923,0.132264,0.526154,0.139625,0.761322,0.074164,0.769766,0.073773,0.539532,0.147547
"{'classifier__learning_rate': 10, 'classifier__n_estimators': 150}",0.750021,0.068245,0.694609,0.088524,0.844923,0.132264,0.526154,0.139625,0.761322,0.074164,0.769766,0.073773,0.539532,0.147547
"{'classifier__learning_rate': 10, 'classifier__n_estimators': 160}",0.750021,0.068245,0.694609,0.088524,0.844923,0.132264,0.526154,0.139625,0.761322,0.074164,0.769766,0.073773,0.539532,0.147547
"{'classifier__learning_rate': 10, 'classifier__n_estimators': 170}",0.750021,0.068245,0.694609,0.088524,0.844923,0.132264,0.526154,0.139625,0.761322,0.074164,0.769766,0.073773,0.539532,0.147547
"{'classifier__learning_rate': 10, 'classifier__n_estimators': 180}",0.750021,0.068245,0.694609,0.088524,0.844923,0.132264,0.526154,0.139625,0.761322,0.074164,0.769766,0.073773,0.539532,0.147547
"{'classifier__learning_rate': 10, 'classifier__n_estimators': 190}",0.750021,0.068245,0.694609,0.088524,0.844923,0.132264,0.526154,0.139625,0.761322,0.074164,0.769766,0.073773,0.539532,0.147547
"{'classifier__learning_rate': 10, 'classifier__n_estimators': 200}",0.750021,0.068245,0.694609,0.088524,0.844923,0.132264,0.526154,0.139625,0.761322,0.074164,0.769766,0.073773,0.539532,0.147547
"{'classifier__learning_rate': 10, 'classifier__n_estimators': 210}",0.750021,0.068245,0.694609,0.088524,0.844923,0.132264,0.526154,0.139625,0.761322,0.074164,0.769766,0.073773,0.539532,0.147547
"{'classifier__learning_rate': 10, 'classifier__n_estimators': 220}",0.750021,0.068245,0.694609,0.088524,0.844923,0.132264,0.526154,0.139625,0.761322,0.074164,0.769766,0.073773,0.539532,0.147547
"{'classifier__learning_rate': 10, 'classifier__n_estimators': 230}",0.750021,0.068245,0.694609,0.088524,0.844923,0.132264,0.526154,0.139625,0.761322,0.074164,0.769766,0.073773,0.539532,0.147547
"{'classifier__learning_rate': 10, 'classifier__n_estimators': 240}",0.750021,0.068245,0.694609,0.088524,0.844923,0.132264,0.526154,0.139625,0.761322,0.074164,0.769766,0.073773,0.539532,0.147547
"{'classifier__learning_rate': 10, 'classifier__n_estimators': 250}",0.750021,0.068245,0.694609,0.088524,0.844923,0.132264,0.526154,0.139625,0.761322,0.074164,0.769766,0.073773,0.539532,0.147547
"{'classifier__learning_rate': 10, 'classifier__n_estimators': 260}",0.750021,0.068245,0.694609,0.088524,0.844923,0.132264,0.526154,0.139625,0.761322,0.074164,0.769766,0.073773,0.539532,0.147547
"{'classifier__learning_rate': 10, 'classifier__n_estimators': 270}",0.750021,0.068245,0.694609,0.088524,0.844923,0.132264,0.526154,0.139625,0.761322,0.074164,0.769766,0.073773,0.539532,0.147547
"{'classifier__learning_rate': 10, 'classifier__n_estimators': 280}",0.750021,0.068245,0.694609,0.088524,0.844923,0.132264,0.526154,0.139625,0.761322,0.074164,0.769766,0.073773,0.539532,0.147547
"{'classifier__learning_rate': 10, 'classifier__n_estimators': 290}",0.750021,0.068245,0.694609,0.088524,0.844923,0.132264,0.526154,0.139625,0.761322,0.074164,0.769766,0.073773,0.539532,0.147547
"{'classifier__learning_rate': 10, 'classifier__n_estimators': 300}",0.750021,0.068245,0.694609,0.088524,0.844923,0.132264,0.526154,0.139625,0.761322,0.074164,0.769766,0.073773,0.539532,0.147547
